epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3594,1.33456,2.86811,1.64246,0.57454,0.85,0.87817,0.63489,1.64856,1.07041,1.38313,0,0,0
2,26.889,1.20404,2.6936,1.511,0.56575,0.85,0.8488,0.6319,1.64596,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,32.7782,1.16003,3.63313,1.57307,0.55956,0.85,0.85083,0.61618,1.66649,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,38.5194,1.27732,2.74016,1.38869,0.56026,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,43.473,1.37197,3.08498,1.72642,0.56732,0.85,0.85526,0.63771,1.6585,1.04084,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,48.7304,1.56155,4.11386,1.96474,0.54414,0.85,0.8936,0.63825,1.68531,1.05858,1.37763,5.65548e-06,5.65548e-06,5.65548e-06
7,53.6496,1.13979,1.91273,1.4195,0.53943,0.85172,0.89406,0.64255,1.68382,1.05913,1.37698,6.71588e-06,6.71588e-06,6.71588e-06
8,58.7048,1.37521,4.01787,1.6139,0.55028,0.85949,0.85911,0.61257,1.64319,1.05727,1.35288,7.75273e-06,7.75273e-06,7.75273e-06
9,63.5148,1.11606,2.70353,1.41075,0.56882,0.86386,0.81827,0.59503,1.66465,1.05925,1.36333,8.76602e-06,8.76602e-06,8.76602e-06
10,68.4382,1.18718,3.44766,1.59581,0.57994,0.86406,0.81418,0.59503,1.65645,1.05646,1.35661,9.75574e-06,9.75574e-06,9.75574e-06
11,73.301,1.20778,2.46949,1.45298,0.5906,0.86371,0.85595,0.61995,1.65357,1.06308,1.35589,1.07219e-05,1.07219e-05,1.07219e-05
12,78.2175,0.99169,2.00664,1.36622,0.58559,0.86401,0.85561,0.62083,1.66256,1.07359,1.3635,1.16645e-05,1.16645e-05,1.16645e-05
13,82.9976,0.87069,2.23883,1.1318,0.5904,0.86667,0.85501,0.62082,1.64936,1.07334,1.35346,1.25835e-05,1.25835e-05,1.25835e-05
14,87.8012,1.08371,2.18934,1.48417,0.59767,0.86667,0.88803,0.62731,1.65261,1.09387,1.35786,1.3479e-05,1.3479e-05,1.3479e-05
15,92.6767,0.92895,1.64881,1.12293,0.60689,0.86667,0.88802,0.62731,1.65162,1.10147,1.35895,1.43509e-05,1.43509e-05,1.43509e-05
16,98.0218,1.2228,2.47952,1.6233,0.61014,0.86667,0.87512,0.62676,1.66318,1.12301,1.36854,1.51993e-05,1.51993e-05,1.51993e-05
17,102.95,0.84422,1.78453,1.19123,0.62054,0.7,0.87291,0.6263,1.66231,1.13359,1.37154,1.60241e-05,1.60241e-05,1.60241e-05
18,106.571,1.15555,1.55014,1.36001,0.62054,0.7,0.87291,0.6263,1.66231,1.13359,1.37154,1.68253e-05,1.68253e-05,1.68253e-05
19,110.303,0.97781,1.90479,1.13526,0.77382,0.65,0.86227,0.61119,1.66937,1.17764,1.38066,1.7603e-05,1.7603e-05,1.7603e-05
20,113.81,0.89621,1.53556,1.2105,0.77382,0.65,0.86227,0.61119,1.66937,1.17764,1.38066,1.83571e-05,1.83571e-05,1.83571e-05
21,117.491,1.29017,2.49483,1.71275,0.7701,0.65,0.85531,0.61435,1.68274,1.21191,1.38837,1.90876e-05,1.90876e-05,1.90876e-05
22,120.951,1.08401,2.3397,1.51972,0.7701,0.65,0.85531,0.61435,1.68274,1.21191,1.38837,1.97946e-05,1.97946e-05,1.97946e-05
23,125.941,1.05957,1.82227,1.4726,0.74442,0.65,0.85529,0.61925,1.68118,1.23329,1.38556,2.0478e-05,2.0478e-05,2.0478e-05
24,131.315,1.12309,2.21234,1.53769,0.74442,0.65,0.85529,0.61925,1.68118,1.23329,1.38556,2.11379e-05,2.11379e-05,2.11379e-05
25,136.014,0.83384,1.46826,1.2101,0.7112,0.65762,0.85534,0.61104,1.68139,1.27541,1.38523,2.17741e-05,2.17741e-05,2.17741e-05
26,141.434,1.15577,1.86056,1.45051,0.7112,0.65762,0.85534,0.61104,1.68139,1.27541,1.38523,2.23869e-05,2.23869e-05,2.23869e-05
27,145.771,0.9166,1.66928,1.3966,0.7037,0.66921,0.85545,0.61336,1.7024,1.30434,1.40012,2.2976e-05,2.2976e-05,2.2976e-05
28,149.62,0.80305,1.24238,1.14179,0.7037,0.66921,0.85545,0.61336,1.7024,1.30434,1.40012,2.35417e-05,2.35417e-05,2.35417e-05
29,153.666,0.99784,1.52766,1.27209,0.70025,0.67263,0.85543,0.61078,1.67135,1.31168,1.37981,2.40837e-05,2.40837e-05,2.40837e-05
30,157.368,1.26557,2.34451,1.59837,0.70025,0.67263,0.85543,0.61078,1.67135,1.31168,1.37981,2.46022e-05,2.46022e-05,2.46022e-05
31,161.159,0.97673,1.43246,1.29241,0.68806,0.66667,0.85203,0.60885,1.68112,1.3485,1.38539,2.50971e-05,2.50971e-05,2.50971e-05
32,164.934,0.81117,1.26,1.21259,0.68806,0.66667,0.85203,0.60885,1.68112,1.3485,1.38539,2.55685e-05,2.55685e-05,2.55685e-05
33,168.499,0.78883,1.31384,1.35178,0.67028,0.69047,0.85231,0.60726,1.66681,1.38088,1.38153,2.60163e-05,2.60163e-05,2.60163e-05
34,172.126,1.05625,1.25031,1.30957,0.67028,0.69047,0.85231,0.60726,1.66681,1.38088,1.38153,2.64405e-05,2.64405e-05,2.64405e-05
35,175.965,0.88838,2.16554,1.30414,0.66251,0.7,0.85257,0.59108,1.68067,1.41657,1.39241,2.68412e-05,2.68412e-05,2.68412e-05
36,179.55,0.96604,1.48369,1.2026,0.66251,0.7,0.85257,0.59108,1.68067,1.41657,1.39241,2.72183e-05,2.72183e-05,2.72183e-05
37,183.302,0.78315,1.12096,1.17371,0.64261,0.7,0.85235,0.58344,1.65354,1.44864,1.37595,2.75718e-05,2.75718e-05,2.75718e-05
38,187.054,0.45923,0.70837,0.96955,0.64261,0.7,0.85235,0.58344,1.65354,1.44864,1.37595,2.79018e-05,2.79018e-05,2.79018e-05
39,190.931,0.63582,0.9415,1.01574,0.67696,0.69078,0.85226,0.56169,1.62357,1.47619,1.36612,2.82082e-05,2.82082e-05,2.82082e-05
40,194.737,0.79593,0.83709,1.16365,0.67696,0.69078,0.85226,0.56169,1.62357,1.47619,1.36612,2.84911e-05,2.84911e-05,2.84911e-05
41,198.468,0.76261,0.92772,1.06553,0.68067,0.66897,0.76907,0.48784,1.59367,1.48757,1.35804,2.87504e-05,2.87504e-05,2.87504e-05
42,202.131,0.88382,1.8893,1.28001,0.68067,0.66897,0.76907,0.48784,1.59367,1.48757,1.35804,2.89861e-05,2.89861e-05,2.89861e-05
43,205.986,0.84624,1.22227,1.22741,0.65801,0.65,0.76243,0.47284,1.60544,1.53307,1.36962,2.91983e-05,2.91983e-05,2.91983e-05
44,209.667,1.07346,0.98589,1.44877,0.65801,0.65,0.76243,0.47284,1.60544,1.53307,1.36962,2.93869e-05,2.93869e-05,2.93869e-05
45,213.982,0.61346,0.92012,0.99465,0.6836,0.65,0.73496,0.44744,1.61201,1.54564,1.38383,2.9552e-05,2.9552e-05,2.9552e-05
46,217.684,0.82328,1.00493,1.26607,0.6836,0.65,0.73496,0.44744,1.61201,1.54564,1.38383,2.96935e-05,2.96935e-05,2.96935e-05
47,221.868,0.87779,1.47069,1.35559,0.73245,0.65,0.73238,0.43911,1.62517,1.59937,1.39016,2.98114e-05,2.98114e-05,2.98114e-05
48,225.476,0.78713,1.62784,1.1731,0.73245,0.65,0.73238,0.43911,1.62517,1.59937,1.39016,2.99058e-05,2.99058e-05,2.99058e-05
49,229.542,0.67003,0.71643,1.24323,0.69146,0.65,0.70753,0.41453,1.62658,1.62132,1.39107,2.99766e-05,2.99766e-05,2.99766e-05
50,233.175,0.79521,0.80918,1.29347,0.69146,0.65,0.70753,0.41453,1.62658,1.62132,1.39107,3.00238e-05,3.00238e-05,3.00238e-05
51,236.874,0.85479,0.83102,1.15356,0.65767,0.67126,0.69868,0.40616,1.61105,1.63391,1.39112,3.00475e-05,3.00475e-05,3.00475e-05
52,240.47,0.98553,0.98867,1.35144,0.65767,0.67126,0.69868,0.40616,1.61105,1.63391,1.39112,3.00476e-05,3.00476e-05,3.00476e-05
53,244.135,0.64616,0.69594,1.17573,0.65767,0.67126,0.69868,0.40616,1.61105,1.63391,1.39112,3.00242e-05,3.00242e-05,3.00242e-05
54,247.82,0.78855,0.91788,1.23292,0.67562,0.67101,0.69624,0.40847,1.61062,1.68613,1.40047,2.99772e-05,2.99772e-05,2.99772e-05
55,251.484,0.80857,0.94711,1.12635,0.67562,0.67101,0.69624,0.40847,1.61062,1.68613,1.40047,2.99066e-05,2.99066e-05,2.99066e-05
56,255.095,1.12816,1.46641,1.59942,0.67562,0.67101,0.69624,0.40847,1.61062,1.68613,1.40047,2.98125e-05,2.98125e-05,2.98125e-05
57,258.866,0.9352,1.4868,1.36998,0.73113,0.5,0.69609,0.40874,1.62122,1.7118,1.40768,2.96948e-05,2.96948e-05,2.96948e-05
58,262.578,0.86872,1.46681,1.27025,0.73113,0.5,0.69609,0.40874,1.62122,1.7118,1.40768,2.95535e-05,2.95535e-05,2.95535e-05
59,266.131,0.78677,0.82325,1.15611,0.73113,0.5,0.69609,0.40874,1.62122,1.7118,1.40768,2.93887e-05,2.93887e-05,2.93887e-05
60,269.95,0.99235,0.78208,1.54142,0.73498,0.5,0.67963,0.39018,1.65288,1.79375,1.42609,2.92003e-05,2.92003e-05,2.92003e-05
61,273.58,0.63315,0.68515,1.06273,0.73498,0.5,0.67963,0.39018,1.65288,1.79375,1.42609,2.89884e-05,2.89884e-05,2.89884e-05
62,277.187,0.70584,0.89728,1.04823,0.73498,0.5,0.67963,0.39018,1.65288,1.79375,1.42609,2.87529e-05,2.87529e-05,2.87529e-05
63,281.027,0.76252,0.82398,1.14792,0.84126,0.48765,0.68057,0.37483,1.6514,1.85884,1.42846,2.84938e-05,2.84938e-05,2.84938e-05
64,284.674,0.62877,0.65367,1.06711,0.84126,0.48765,0.68057,0.37483,1.6514,1.85884,1.42846,2.82112e-05,2.82112e-05,2.82112e-05
65,288.257,0.66944,0.69963,1.22233,0.84126,0.48765,0.68057,0.37483,1.6514,1.85884,1.42846,2.7905e-05,2.7905e-05,2.7905e-05
66,291.925,0.6862,0.91738,1.08154,0.85166,0.47339,0.67904,0.38865,1.67131,1.86886,1.43624,2.75753e-05,2.75753e-05,2.75753e-05
67,295.606,0.74023,1.12606,1.10817,0.85166,0.47339,0.67904,0.38865,1.67131,1.86886,1.43624,2.7222e-05,2.7222e-05,2.7222e-05
68,299.422,1.05803,1.81891,1.42028,0.85166,0.47339,0.67904,0.38865,1.67131,1.86886,1.43624,2.68451e-05,2.68451e-05,2.68451e-05
69,303.179,0.62887,1.08349,1.11959,0.84685,0.47132,0.56994,0.29658,1.66491,1.90854,1.425,2.64447e-05,2.64447e-05,2.64447e-05
